complaint_text,category,urgency,duration,affected_count,source,cluster_id,cluster_count,issue_id
lab PC login nahi ho raha,Technical Issues,Medium,More than a month,2 to 5,synthetic,,,
lab PC login nahi ho raha,Technical Issues,Low,More than a month,Only me,synthetic,,,
"ISA marks affect karte hai SGPA ko, this is unfair",Academics,Low,More than a month,20+,synthetic,,,
Libraries AC is not working ,Technical Issues,Medium,More than a month,5 to 20,real,,,
sir behavior students ke saath bahut bura hai,Ragging,High,From Last Month,20+,synthetic,,,
"There is no bus facility for students coming from far areas. We spend 4-5 hours in travel daily. If college can arrange even one route, it would help many students.",Other,High,From Last Month,2 to 5,synthetic,,,
"Attendance policy is draconian. Even if you're sick, you lose marks. College should understand students are human beings, not machines.",Academics,Medium,More than a month,2 to 5,synthetic,,,
"Multiple systems in lab M411 and M312 are non-functional. Some don't boot, some freeze during work, some have login issues that don't recognize student IDs. We have practicals to complete with deadlines and we can't work because equipment isn't working. This has been reported multiple times but nothing has been fixed. How are we expected to learn if the tools aren't working? Labs need urgent maintenance - not next month, NOW.",Technical Issues,Medium,From Last Month,20+,synthetic,,,
kachra everywhere yaar,Cleanliness,High,More than a month,5 to 20,synthetic,,,
prof nahi aata phir bhi attendance chahiye,Academics,High,From last week,20+,synthetic,,,
"After rains, puddles form in campus walkways and become breeding grounds for mosquitoes. Proper drainage maintenance is needed.",Cleanliness,High,From last week,20+,synthetic,,,
"Internship aur college attendance manage karna impossible hai. Policy rigid hai, no exceptions.",Academics,High,From last week,5 to 20,synthetic,,,
"Yaar monday test bohot frustrating hai. Sunday ko rest nahi milta, sirf test ki prep karo. Kab self study karenge?",Academics,Medium,From Last Month,5 to 20,synthetic,,,
Not focusing on students improvement but torturing students for attendance ,Academics,High,More than a month,5 to 20,real,,,
paneer watery hai,Mess/Food,Medium,From last week,20+,synthetic,,,
lab floors dirty hai,Cleanliness,High,More than a month,20+,synthetic,,,
washroom mein smell aa rahi hai,Cleanliness,High,More than a month,20+,synthetic,,,
The biometric attendance machine in D block has been broken for weeks. Manual attendance being taken is inconsistent and leads to disputes.,Technical Issues,Medium,More than a month,5 to 20,synthetic,,,
washroom mein smell aa rahi hai,Cleanliness,Medium,More than a month,20+,synthetic,,,
"Serious health complaint: Multiple students in my batch got food poisoning after eating from the mess last Tuesday. We reported to the doctor and three of us had to skip classes. When we brought this to the canteen manager's attention, they denied it and said food quality is fine. We have no way to verify what ingredients are being used, how they are stored, or whether hygiene standards are maintained. The administration should conduct monthly surprise inspections of the canteen kitchen and food storage areas. Students' health should be the priority.",Mess/Food,Medium,From last week,20+,synthetic,,,
Broken benches and chairs in classroom 304. Some students have to sit on half-broken chairs for 6 hours. Basic comfort should be provided.,Infrastructure,High,From last week,20+,synthetic,,,
College events are held on weekdays during college hours  this disturbs regular lectures and students suffer. Schedule events on weekends or free periods.,Other,Low,More than a month,20+,synthetic,,,
"There is absolutely no mental health support infrastructure in this college. Engineering students face immense pressure  academic, placement-related, personal. Many of my friends are struggling with anxiety and burnout. There's no counselor, no support group, no accessible helpline. In some western colleges this is a priority. Please hire at least one full-time counselor and set up a confidential support service. Students really need this.",Other,Low,From Last Month,20+,synthetic,,,
college portal crash ho gaya,Technical Issues,High,More than a month,5 to 20,synthetic,,,
practical marks abhi tak portal pe nahi aaye,Academics,Medium,From Last Month,20+,synthetic,,,
"Parking area is completely unorganized. No designated spots, vehicles parked randomly, creates traffic jams every morning.",Infrastructure,Medium,More than a month,20+,synthetic,,,
"Network speed during peak hours (10am-12pm) drops to almost nothing. Too many users, not enough bandwidth. Upgrade the network capacity.",Technical Issues,Medium,More than a month,5 to 20,synthetic,,,
fees issue resolve nahi ho raha,Other,Medium,From last week,Only me,synthetic,,,
rice undercooked hai,Mess/Food,Medium,Today,2 to 5,synthetic,,,
"Parking area is completely unorganized. No designated spots, vehicles parked randomly, creates traffic jams every morning.",Infrastructure,High,More than a month,2 to 5,synthetic,,,
There is no formal grievance cell that students can approach with issues. No transparency about what happens to complaints once raised.,Other,Medium,More than a month,2 to 5,synthetic,,,
Professors who don't know the subject should not be teaching. Simple as that. Students deserve qualified and passionate teachers.,Academics,High,More than a month,2 to 5,synthetic,,,
"Yaar campus ki cleanliness ki situation kya bata bhai. Canteen ke bahar ka area garbage dump ban gaya hai. Stairs ke corners pe kachra, dustbins overflow ho rahe hai, aur bahar ka road bhi littered hai. Students bhi zimmedaar hai for sure  but cleaning staff bhi visible nahi hai campus pe during the day. Koi ek person responsible hona chahiye jo ensure kare ki campus clean hai throughout the day. Ek Sunday campus cleanliness drive organize karo  involve students bhi. Something needs to be done.",Cleanliness,High,From last week,20+,synthetic,,,
A group of seniors blocks certain spots in canteen. Juniors afraid to sit there. Territorial behavior is ragging.,Ragging,Low,From Last Month,5 to 20,synthetic,,,
College portal ka mobile interface itna purana hai ki properly open hi nahi hota. Please make it mobile-responsive.,Technical Issues,Medium,From Last Month,5 to 20,synthetic,,,
"The workload distribution in this college is absolutely terrible. In a single week we can have: monday test, ISA exam, 3 assignment submissions, 2 practical records to submit, a mini project review, and regular lectures. All of this happening simultaneously with zero coordination between departments. Teachers don't check with each other before setting deadlines. Students are running from one submission to another, stress levels are through the roof. No time to actually understand anything. This is not education - this is a factory process.",Academics,High,From last week,20+,synthetic,,,
Faculty member calls on distracted students and mocks them sarcastically. 'Aap toh celebrity ho' type comments.,Ragging,High,From Last Month,Only me,synthetic,,,
Sir ne attendance ke naam pe threatening language use ki. Said he will fail us if we don't comply. Mental harassment.,Ragging,High,Today,Only me,synthetic,,,
Lab mein benches pe dust ki layer hai. Clearly regular cleaning nahi hoti. Equipment damage ho raha hai.,Cleanliness,Medium,More than a month,5 to 20,synthetic,,,
admin office response slow hai,Other,Medium,From last week,2 to 5,synthetic,,,
"After eating from mess yesterday, three of us had upset stomachs. Food quality has been deteriorating consistently for weeks.",Mess/Food,High,More than a month,20+,synthetic,,,
printer out of order hai,Technical Issues,High,From last week,20+,synthetic,,,
sir class mein sarcasm karta hai unnecessarily,Ragging,High,From Last Month,2 to 5,synthetic,,,
outside area littered,Cleanliness,Low,From Last Month,20+,synthetic,,,
As an OHU student I totally depend on the college mess for my meals. The quality of food here is genuinely terrible. Chapati is so thin it tears when you try to pick it up. Dal has no taste  it's literally just hot water with a hint of yellow color. The paneer gravy is oily and watery at the same time somehow. And they charge 60 rupees for this! My mom makes better food at home in 10 rupees. Please either improve the food quality or reduce the price. Students cannot study properly if they're not eating well.,Mess/Food,Medium,More than a month,20+,synthetic,,,
Girls common room mein AC nahi hai but boys ke liye hai. Unfair treatment and basic comfort issue.,Infrastructure,Medium,More than a month,2 to 5,synthetic,,,
professor ne class mein humiliate kiya,Ragging,High,More than a month,Only me,synthetic,,,
"Outdoor dustbins are open type, no lid. Wind blows garbage all over campus. Use closed lid dustbins.",Cleanliness,Low,From Last Month,5 to 20,synthetic,,,
"Sweeping is done daily but with the same dirty broom  it just moves the dust around, doesn't clean. Use proper mops with disinfectant.",Cleanliness,High,More than a month,20+,synthetic,,,
60 rupaye mein jo milta hai woh 30 rupaye ka bhi nahi lagta. Price kam karo ya quality improve karo. Dono sath nahi chal sakta aise.,Mess/Food,High,From last week,20+,synthetic,,,
railing loose hai stairs ki,Infrastructure,High,More than a month,20+,synthetic,,,
No wheelchair accessibility ramps in older buildings. Students with mobility issues cannot access certain floors.,Other,High,More than a month,2 to 5,synthetic,,,
"Professors woh hai jo sirf class mein aate hai aur ek cheez bata ke chale jate hai. Check karo ki students ne samjha ki nahi? Nahi. Assignment diya, checked kiya? Nahi. Phir exam mein result kharab aaya toh students ki galti. Teachers ka koi accountability nahi hai is college mein. Aur attendance? Unki toh zero accountability hai but hamari 75% maangi jaati hai. This is completely unfair.",Academics,Medium,More than a month,20+,synthetic,,,
